serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Via_Aérea,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,186.65,198.24,0.6182,0.0
Via_Aérea,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,186.89,198.48,0.6428,0.0
Via_Aérea,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,187.22,198.81,0.6029,0.0
Via_Aérea,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,187.44,199.03,0.6217,0.0
Via_Aérea,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,187.61,196.3,0.4782,0.0
Via_Aérea,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,187.61,202.1,0.6392,0.0
Via_Aérea,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,187.61,202.1,0.6224,0.0
Via_Aérea,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,187.78,202.27,0.6287,0.0
Via_Aérea,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,188.24,202.73,0.6123,0.0
Via_Aérea,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,188.68,203.17,0.6422,0.0
Via_Aérea,"SARIMA(1,1,2)(0,1,1)[12]",1,1,2,0,1,1,188.81,203.3,0.65,0.0
Via_Aérea,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,189.39,206.78,0.6382,0.0
Via_Aérea,"SARIMA(1,1,2)(1,1,1)[12]",1,1,2,1,1,1,189.54,206.93,0.6465,0.0
Via_Aérea,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,189.64,201.23,0.4547,0.0
Via_Aérea,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,190.1,201.69,0.4745,0.0
Via_Aérea,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,190.33,193.23,0.5383,0.0
Via_Aérea,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,190.82,196.61,0.5799,0.0
Via_Aérea,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,191.08,196.87,0.5772,0.0
Via_Aérea,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,191.39,205.88,0.4549,0.0
Via_Aérea,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,191.97,200.66,0.6022,0.0
Via_Aérea,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,192.31,201.0,0.5905,0.0
Via_Aérea,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,193.74,205.33,0.6064,0.0
Via_Aérea,"SARIMA(1,1,2)(0,1,0)[12]",1,1,2,0,1,0,193.89,205.49,0.6091,0.0
Via_Aérea,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,194.04,202.73,0.5201,0.0
Via_Terrestre,"SARIMA(2,1,2)(0,1,1)[12]",2,1,2,0,1,1,128.61,145.99,0.4605,0.0
Via_Terrestre,"SARIMA(2,1,2)(1,1,0)[12]",2,1,2,1,1,0,128.64,146.03,0.4583,0.0
Via_Terrestre,"SARIMA(1,1,2)(1,1,0)[12]",1,1,2,1,1,0,129.48,143.97,0.296,0.0
Via_Terrestre,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,130.03,138.72,0.4399,0.0
Via_Terrestre,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,130.06,138.76,0.4072,0.0
Via_Terrestre,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,130.08,138.77,0.4551,0.0
Via_Terrestre,"SARIMA(2,1,2)(1,1,1)[12]",2,1,2,1,1,1,130.15,150.43,0.4571,0.0
Via_Terrestre,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,130.21,138.9,0.414,0.0
