serie,modelo,p,d,q,P,D,Q,AIC,BIC,ljung_box_p,jarque_bera_p
Pais_EstadosUnidos,"SARIMA(2,1,1)(0,1,0)[12]",2,1,1,0,1,0,400.59,412.18,0.1321,0.0
Pais_EstadosUnidos,"SARIMA(2,1,1)(1,1,0)[12]",2,1,1,1,1,0,400.88,415.37,0.1201,0.0
Pais_EstadosUnidos,"SARIMA(2,1,1)(0,1,1)[12]",2,1,1,0,1,1,401.06,415.55,0.1232,0.0
Pais_EstadosUnidos,"SARIMA(2,1,1)(1,1,1)[12]",2,1,1,1,1,1,402.87,420.26,0.12,0.0
Pais_EstadosUnidos,"SARIMA(0,1,0)(0,1,0)[12]",0,1,0,0,1,0,404.68,407.58,0.0365,0.0
Pais_EstadosUnidos,"SARIMA(0,1,0)(1,1,0)[12]",0,1,0,1,1,0,405.37,411.16,0.0301,0.0
Pais_EstadosUnidos,"SARIMA(1,1,0)(0,1,0)[12]",1,1,0,0,1,0,405.41,411.2,0.0285,0.0
Pais_EstadosUnidos,"SARIMA(0,1,0)(0,1,1)[12]",0,1,0,0,1,1,405.54,411.34,0.0307,0.0
Pais_EstadosUnidos,"SARIMA(0,1,1)(0,1,0)[12]",0,1,1,0,1,0,405.59,411.39,0.0294,0.0
Pais_EstadosUnidos,"SARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,405.88,414.58,0.0254,0.0
Pais_EstadosUnidos,"SARIMA(0,1,1)(1,1,0)[12]",0,1,1,1,1,0,406.11,414.8,0.0259,0.0
Pais_EstadosUnidos,"SARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,406.11,414.81,0.0258,0.0
Pais_EstadosUnidos,"SARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,406.33,415.02,0.0264,0.0
Pais_EstadosUnidos,"SARIMA(2,1,0)(0,1,0)[12]",2,1,0,0,1,0,406.63,415.33,0.0488,0.0
Pais_EstadosUnidos,"SARIMA(0,1,2)(0,1,0)[12]",0,1,2,0,1,0,406.65,415.34,0.0487,0.0
Pais_EstadosUnidos,"SARIMA(2,1,0)(1,1,0)[12]",2,1,0,1,1,0,407.1,418.69,0.044,0.0
Pais_EstadosUnidos,"SARIMA(0,1,2)(1,1,0)[12]",0,1,2,1,1,0,407.12,418.71,0.0438,0.0
Pais_EstadosUnidos,"SARIMA(1,1,1)(0,1,0)[12]",1,1,1,0,1,0,407.12,415.82,0.0324,0.0
Pais_EstadosUnidos,"SARIMA(2,1,0)(0,1,1)[12]",2,1,0,0,1,1,407.31,418.9,0.0449,0.0
Pais_EstadosUnidos,"SARIMA(0,1,2)(0,1,1)[12]",0,1,2,0,1,1,407.33,418.92,0.0448,0.0
Pais_EstadosUnidos,"SARIMA(0,1,0)(1,1,1)[12]",0,1,0,1,1,1,407.36,416.05,0.0303,0.0
Pais_EstadosUnidos,"SARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,407.58,419.18,0.0294,0.0
Pais_EstadosUnidos,"SARIMA(1,1,1)(0,1,1)[12]",1,1,1,0,1,1,407.81,419.4,0.0298,0.0
Pais_EstadosUnidos,"SARIMA(1,1,0)(1,1,1)[12]",1,1,0,1,1,1,407.87,419.46,0.0254,0.0
Pais_EstadosUnidos,"SARIMA(0,1,1)(1,1,1)[12]",0,1,1,1,1,1,408.09,419.68,0.026,0.0
Pais_EstadosUnidos,"SARIMA(2,1,0)(1,1,1)[12]",2,1,0,1,1,1,409.09,423.58,0.0439,0.0
Pais_EstadosUnidos,"SARIMA(0,1,2)(1,1,1)[12]",0,1,2,1,1,1,409.11,423.6,0.0437,0.0
Pais_EstadosUnidos,"SARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,409.57,424.06,0.0294,0.0
