serie,Total,Via_Aérea,Via_Terrestre,Via_Marítima,Pais_ElSalvador,Pais_Honduras,Pais_EstadosUnidos
Total,0.0,5.236410230644696,5.019616517477476,7.8413403713628025,5.878467371746837,6.719918792950134,8.155070522175016
Via_Aérea,5.236410230644696,0.0,7.07294132247157,7.06590032042619,7.198797733079625,7.541622045204112,7.408555647309286
Via_Terrestre,5.019616517477476,7.07294132247157,0.0,8.053893538022754,3.7659131567664326,6.166007561359897,6.8737630430908965
Via_Marítima,7.8413403713628025,7.06590032042619,8.053893538022754,0.0,9.091056972446065,9.74248324236398,8.662762667728343
Pais_ElSalvador,5.878467371746837,7.198797733079625,3.7659131567664326,9.091056972446065,0.0,4.769849013797358,6.780144058954505
Pais_Honduras,6.719918792950134,7.541622045204112,6.166007561359897,9.74248324236398,4.769849013797358,0.0,8.276167249615158
Pais_EstadosUnidos,8.155070522175016,7.408555647309286,6.8737630430908965,8.662762667728343,6.780144058954505,8.276167249615158,0.0
