,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
DN_HistogramMode_5,1.0,-0.06283806828148242,0.18172798347817395,0.7151442642158706,0.34999742654776383,-0.5020474183678645,0.05430047000595378,0.3148991794352128,0.20169722537127727,0.34920405644051244,0.02285243324145325,0.57285839593445,-0.1349821892499815,-0.2109748292326403,-0.07821066435408482,0.4685314063972485,0.42219238442563856,-0.24694080301059965,0.4025818484278976,0.4518751023133678,-0.09828712554871377,-0.3271507509590873
DN_HistogramMode_10,-0.06283806828148242,1.0,0.045569887845014846,0.4367304337306614,-0.4583090650949436,-0.3178793364374579,0.4208434057297591,0.06425660712938244,0.18827810479765275,0.26555172909668284,-0.3948142458405201,0.35640790785517795,-0.24019279162383997,0.1853669840804773,-0.19551310335234004,-0.3754741409514886,-0.5576091027797906,0.7510437024123974,-0.17404624511681274,-0.27954402690570684,-0.22103880046501762,0.1326795581280436
CO_f1ecac,0.18172798347817395,0.045569887845014846,1.0,-0.07109676423549537,0.6841347668236738,-0.016652090587294412,0.3005216202957221,0.6810368773806866,0.8254683271499637,-0.7841820439824957,0.10964218869077824,-0.4950885476158409,-0.7854136055549231,0.7650207271188681,-0.6599376169463007,0.7730478773777222,-0.1365008244282127,-0.5108735315523031,0.07789058195604684,-0.07621192313481875,-0.7700872100617756,-0.9348217620064939
CO_FirstMin_ac,0.7151442642158706,0.4367304337306614,-0.07109676423549537,1.0,-0.10591013470764647,-0.8885753522385125,0.031340317583246784,0.1550835925034858,0.20292773295837097,0.6218821436015863,-0.5131986366635722,0.7951923208052687,0.08279440369466426,-0.4792135744095791,0.11783628655134834,0.10127387129636281,0.10000000000000002,0.16307961990936168,0.5143245417917849,0.4962062009957875,0.12074182249459642,0.0042814431452431155
CO_HistogramAMI_even_2_5,0.34999742654776383,-0.4583090650949436,0.6841347668236738,-0.10591013470764647,1.0,-0.07934608369636792,0.4042072035127014,0.7029822043685013,0.3190958140067246,-0.639441848954716,0.5510931289333706,-0.23775432925842468,-0.6764206862921155,0.30655846095242467,-0.7012414278148391,0.8964458825193169,0.5695281253090103,-0.7339684887958086,0.2500620346585291,0.2804796867422348,-0.6895864533346847,-0.8852280210715002
CO_trev_1_num,-0.5020474183678645,-0.3178793364374579,-0.016652090587294412,-0.8885753522385125,-0.07934608369636792,1.0,-0.062169100355345876,-0.31026092020549734,-0.24810326231204832,-0.38707489467517725,0.5284616518606485,-0.6376547249938579,-0.03265969993687202,0.5314867660157989,-0.014765155981340271,-0.27089411385259404,-0.1731847889647863,0.047641517697623995,-0.7002312814700592,-0.6657640367437712,-0.05077431014058318,0.13895799416472138
MD_hrv_classic_pnn40,0.05430047000595378,0.4208434057297591,0.3005216202957221,0.031340317583246784,0.4042072035127014,-0.062169100355345876,1.0,0.48985692659143154,-0.07892714482709907,-0.21377902546245595,0.5595968990098202,0.212858056216508,-0.8061228494296123,0.3482605911017794,-0.8957956934894479,0.1431976138572524,0.2531333343262231,0.30682537043651276,-0.27123476289491977,-0.20526816199103884,-0.8252220632584184,-0.3945433224402473
SB_BinaryStats_mean_longstretch1,0.3148991794352128,0.06425660712938244,0.6810368773806866,0.1550835925034858,0.7029822043685013,-0.31026092020549734,0.48985692659143154,1.0,0.3292506601949706,-0.4336861184617248,0.29084231963248375,0.022648961057877157,-0.6222789939936065,0.3145010179984296,-0.6774419638311041,0.7993582017569749,0.04045658934873549,-0.451782262961842,0.5313424641843365,0.48099601278715054,-0.651561394105587,-0.808068221690428
SB_TransitionMatrix_3ac_sumdiagcov,0.20169722537127727,0.18827810479765275,0.8254683271499637,0.20292773295837097,0.3190958140067246,-0.24810326231204832,-0.07892714482709907,0.3292506601949706,1.0,-0.5163558812194268,-0.4327159600206181,-0.41086323872798136,-0.4481541330415969,0.5381921168926137,-0.23922925509847048,0.5461297034714305,-0.3207311537927981,-0.3867509686859885,0.13656821466045557,-0.08243654221367176,-0.4007516709685228,-0.6626544109220384
PD_PeriodicityWang_th0_01,0.34920405644051244,0.26555172909668284,-0.7841820439824957,0.6218821436015863,-0.639441848954716,-0.38707489467517725,-0.21377902546245595,-0.4336861184617248,-0.5163558812194268,1.0,-0.327529215952653,0.8510347152472174,0.6335416402510512,-0.7560487333995569,0.5822357540530667,-0.5680351589126584,0.06909801595573178,0.5476746916037306,0.15601112487455646,0.26043856868401305,0.648322208482583,0.7315751784031566
