fecha,real,Holt-Winters,Suavizamiento exponencial simple,Seasonal naive,Prophet
2021-04-01,34541.69143140168,37255.02858545699,60160.41400532003,489.0,69697.97506994639
2021-05-01,59518.0,34901.017768033096,60160.41400532003,610.0,63356.4548723197
2021-06-01,75987.0,45138.29352498211,60160.41400532003,1418.0,76852.729167213
2021-07-01,71180.0,47770.02702144204,60160.41400532003,1047.0,83959.01227578562
2021-08-01,55680.0,40297.59891505241,60160.41400532003,1259.0,67419.31856021665
2021-09-01,46047.99999999996,39569.670058442825,60160.41400532003,5606.0,57401.43401020097
2021-10-01,53420.0,48249.99661817339,60160.41400532003,9474.702618453864,67695.22746326913
2021-11-01,72673.0,61220.42445222708,60160.41400532003,38994.0,78131.64926997718
2021-12-01,122254.0,72627.3281527089,60160.41400532003,53717.0,90924.65186370003
2022-01-01,97752.0,59456.303229417295,60160.41400532003,43648.0,73942.73467605445
2022-02-01,84575.0,49828.99857227723,60160.41400532003,28784.0,62097.21226006168
2022-03-01,106141.0,58707.97664173382,60160.41400532003,60160.41466618583,71377.53242964747
2022-04-01,124782.0,36355.58994731056,60160.41400532003,489.0,62628.66782549278
2022-05-01,111839.0,34058.41141170733,60160.41400532003,610.0,56915.5534615478
2022-06-01,125316.0,44048.53123522206,60160.41400532003,1418.0,68987.76873521088
2022-07-01,131458.0,46616.727462167066,60160.41400532003,1047.0,75045.61124862713
2022-08-01,108896.0,39324.70427867909,60160.41400532003,1259.0,60042.24464871148
2022-09-01,103209.0,38614.34962250139,60160.41400532003,5606.0,51153.94558344537
2022-10-01,122939.0,47085.10927553528,60160.41400532003,9474.702618453864,60496.362412528746
2022-11-01,131410.0,59742.39538375517,60160.41400532003,38994.0,69744.30904135705
2022-12-01,158463.0,70873.90512214956,60160.41400532003,53717.0,80972.95770568524
2023-01-01,76401.0,58020.864888973665,60160.41400532003,43648.0,65616.12336114355
2023-02-01,75406.0,48625.989788825515,60160.41400532003,28784.0,55087.66072698072
2023-03-01,92733.0,57290.60495893268,60160.41400532003,60160.41466618583,63272.29450678976
2023-04-01,79354.0,35477.866226438586,60160.41400532003,489.0,55547.3109139571
2023-05-01,71802.0,33236.14788539413,60160.41400532003,610.0,50454.696428694064
2023-06-01,87780.0,42985.0787980382,60160.41400532003,1418.0,61084.081310190275
2023-07-01,99032.0,45491.27171953525,60160.41400532003,1047.0,66143.08223252598
2023-08-01,79152.0,38375.2979889807,60160.41400532003,1259.0,52720.31572839491
2023-09-01,67306.0,37682.093243803276,60160.41400532003,5606.0,44941.30595822857
2023-10-01,59326.0,45948.34551043391,60160.41400532003,9474.702618453864,53275.71276537239
2023-11-01,89140.0,58300.049993513094,60160.41400532003,38994.0,61324.82973172095
2023-12-01,108408.0,69162.81453589593,60160.41400532003,53717.0,71000.13931956506
2024-01-01,96039.0,56620.08196969312,60160.41400532003,43648.0,57317.535174406614
2024-02-01,98871.0,47452.02493911778,60160.41400532003,28784.0,48095.541868468215
2024-03-01,108491.0,55907.45251859439,60160.41400532003,60160.41466618583,55289.76437752042
2024-04-01,87857.0,34621.333165140495,60160.41400532003,489.0,48212.77663741512
2024-05-01,87997.0,32433.736057345184,60160.41400532003,610.0,43630.35397430749
2024-06-01,104464.0,41947.30102138077,60160.41400532003,1418.0,52691.2091692843
2024-07-01,110379.0,44392.98756739423,60160.41400532003,1047.0,57520.607806027496
2024-08-01,88635.0,37448.81297280369,60160.41400532003,1259.0,46123.95008739048
2024-09-01,69269.0,36772.3440927063,60160.41400532003,5606.0,39044.001297729366
2024-10-01,81187.0,44839.026342521116,60160.41400532003,9474.702618453864,45670.27051522636
2024-11-01,97137.0,56892.52677957295,60160.41400532003,38994.0,52471.63973655209
2024-12-01,113027.0,67493.03437255917,60160.41400532003,53717.0,60863.549196969805
2025-01-01,101124.0,55253.11779459543,60160.41400532003,43648.0,49388.81610484908
2025-02-01,92703.0,46306.402822881064,60160.41400532003,28784.0,41248.345194745096
2025-03-01,107244.0,54557.69317428965,60160.41400532003,60160.41466618583,47184.601622514696
2025-04-01,93466.0,33785.47916273547,60160.41400532003,489.0,41124.3709899686
2025-05-01,87753.0,31650.69665308052,60160.41400532003,610.0,37162.133288668905
2025-06-01,99411.0,40934.578048479336,60160.41400532003,1418.0,44797.24964729171
2025-07-01,117361.0,43321.21900897584,60160.41400532003,1047.0,48636.95891542727
2025-08-01,90643.0,36544.69584769671,60160.41400532003,1259.0,38800.13788728329
2025-09-01,70416.0,35884.558782964,60160.41400532003,5606.0,32813.330606293064
2025-10-01,90000.0,43756.48918389778,60160.41400532003,9474.702618453864,38440.42371396548
2025-11-01,111567.0,55518.98503902769,60160.41400532003,38994.0,44054.22131519024
2025-12-01,127283.0,65863.56728515161,60160.41400532003,53717.0,50909.128853549344
2026-01-01,113435.0,53919.15588637887,60160.41400532003,43648.0,41094.13227424683
2026-02-01,106821.0,45188.439168741395,60160.41400532003,28784.0,34248.40375273994
2026-03-01,127540.0,53240.52072503127,60160.41400532003,60160.41466618583,39089.25251963408
2026-04-01,102029.0,32969.80496998717,60160.41400532003,489.0,34023.45511972671
2026-05-01,95804.0,30886.56196912144,60160.41400532003,610.0,30673.65123899678
2026-06-01,98211.0,39946.30498760735,60160.41400532003,1418.0,36865.507648280836
