fecha,real,prediccion,inferior,superior
2021-04-01,0.0,0.0,0.0,4.392925938102772
2021-05-01,0.0,0.0,0.0,2.732540964309567
2021-06-01,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.5769416348895497
2021-08-01,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,3.8274591086947787
2021-10-01,0.0,0.0,0.0,12.856553236182505
2021-11-01,1313.0,0.0,0.0,21.972425051095364
2021-12-01,2595.0,0.0,0.0,24.789652358353607
2022-01-01,676.0,0.0,0.0,32.917918141822504
2022-02-01,448.0,0.0,0.0,33.70103880852206
2022-03-01,852.0,0.0,0.0,36.85638892681719
2022-04-01,3902.0,0.0,0.0,8.188468685006983
2022-05-01,897.0,0.0,0.0,5.565565354579009
2022-06-01,0.0,0.0,0.0,0.6898002214759511
2022-07-01,0.0,0.0,0.0,2.0361928947142665
2022-08-01,0.0,0.0,0.0,0.7997359784675577
2022-09-01,0.0,0.0,0.0,7.662280925237326
2022-10-01,2975.0,0.0,0.0,22.056758490986915
2022-11-01,6238.0,0.0,0.0,36.26184696451272
2022-12-01,10042.0,0.0,0.0,41.25572442408294
2023-01-01,682.0,0.0,0.0,54.41967364997068
2023-02-01,529.0,0.0,0.0,56.85478864585299
2023-03-01,705.0,0.0,0.0,63.0835000629593
2023-04-01,674.0,0.0,0.0,16.312863494464892
2023-05-01,545.0,0.0,0.0,11.95688313296055
2023-06-01,598.0,0.0,0.0,2.8267174282352006
2023-07-01,624.0,0.0,0.0,5.657951936485647
2023-08-01,592.0,0.0,0.0,3.217424575190755
2023-09-01,346.0,0.0,0.0,17.055633597438927
2023-10-01,279.0,0.0,0.0,44.06583213694
2023-11-01,538.0,0.0,0.0,70.39848242321374
2023-12-01,505.0,0.0,0.0,80.92549316672886
2024-01-01,572.0,0.0,0.0,106.37666922362165
2024-02-01,635.0,0.0,0.0,113.32679087550753
2024-03-01,717.0,0.0,0.0,127.51653337138899
2024-04-01,552.0,0.0,0.0,38.029080249696115
2024-05-01,523.0,0.0,0.0,29.555266917174247
2024-06-01,555.0,0.0,0.0,9.251590922808024
2024-07-01,537.0,0.0,0.0,16.34389678917436
2024-08-01,560.0,0.0,0.0,10.681691260769048
2024-09-01,321.0,0.0,0.0,43.96403752973758
2024-10-01,386.0,0.0,0.0,104.84086548901608
2024-11-01,601.0,0.0,0.0,163.63954003163798
2024-12-01,646.0,0.0,0.0,189.86608019543633
2025-01-01,603.0,0.0,0.0,248.8508121070582
2025-02-01,612.0,0.0,0.0,269.6360390602773
2025-03-01,595.0,0.0,0.0,307.063651131915
2025-04-01,937.0,0.0,0.0,103.83207747679245
2025-05-01,576.0,0.0,0.0,84.5362374908482
2025-06-01,492.0,0.0,0.0,31.236514433655806
2025-07-01,606.0,0.0,0.0,52.149149059722525
2025-08-01,566.0,0.0,0.0,36.840567089752064
2025-09-01,366.0,0.0,0.0,131.09945685800434
2025-10-01,393.0,0.0,0.0,293.5414329763337
2025-11-01,534.0,0.0,0.0,449.17646975723517
2025-12-01,664.0,0.0,0.0,525.2897234526575
2026-01-01,644.0,0.0,0.0,686.4295263500454
2026-02-01,758.0,0.0,0.0,754.542511187158
2026-03-01,672.0,0.0,0.0,867.906231343077
2026-04-01,720.0,0.0,0.0,328.0621297298468
2026-05-01,603.0,0.0,0.0,277.69748407437703
2026-06-01,576.0,0.0,0.0,115.71918534449226
