fecha,real,Holt-Winters,Suavizamiento exponencial simple,Seasonal naive,Prophet
2021-04-01,82067.86966045789,82416.34782620521,105145.05419885878,10039.0,238886.8303258155
2021-05-01,79974.0,68353.34470699234,105145.05419885878,9779.0,192089.18694320755
2021-06-01,106436.0,74982.86669456237,105145.05419885878,11817.0,206464.32388636834
2021-07-01,108345.66433359256,83866.50039206256,105145.05419885878,13484.0,230017.7711579203
2021-08-01,83251.0,86028.03365096748,105145.05419885878,15357.0,232878.99485658956
2021-09-01,74913.99999999996,68807.51486488695,105145.05419885878,25389.528915275994,171071.9490410518
2021-10-01,93745.0,79014.67807959522,105145.05419885878,30538.52445256648,192475.24365265615
2021-11-01,116908.17755114578,96132.37425502432,105145.05419885878,58632.0,221447.06486465278
2021-12-01,246898.0,120735.49696039919,105145.05419885878,59432.0,280645.90630259924
2022-01-01,151709.0,106472.23768043243,105145.05419885878,104620.0,238389.35098736206
2022-02-01,232198.4,84388.39180178344,105145.05419885878,65463.0,190073.73043803766
2022-03-01,296130.0,100833.48651560328,105145.05419885878,105145.0549412881,224089.11048916815
2022-04-01,386778.0,79036.79101666925,105145.05419885878,10039.0,217467.26627849808
2022-05-01,356400.0,65550.45404692314,105145.05419885878,9779.0,174441.38358706373
2022-06-01,360283.0,71908.12649531804,105145.05419885878,11817.0,187714.39341729562
2022-07-01,397773.0,80427.4787662846,105145.05419885878,13484.0,208763.84289653212
2022-08-01,399193.0,82500.37640086457,105145.05419885878,15357.0,210614.79413338896
2022-09-01,348618.0,65986.00054712988,105145.05419885878,25389.528915275994,154379.64050146393
2022-10-01,407715.0,75774.60981158249,105145.05419885878,30538.52445256648,174156.49435606718
2022-11-01,453177.0,92190.37938872013,105145.05419885878,58632.0,200516.28051755234
2022-12-01,526190.0,115784.62881751981,105145.05419885878,59432.0,253769.8943175921
2023-01-01,291513.0,102106.24737183185,105145.05419885878,104620.0,214695.69599284703
2023-02-01,221331.00000000003,80927.96954719737,105145.05419885878,65463.0,171103.5169875495
2023-03-01,279789.9999999997,96698.71829338527,105145.05419885878,105145.0549412881,201891.95240660795
2023-04-01,306654.0000000003,75795.8159876916,105145.05419885878,10039.0,195980.29754427276
2023-05-01,239253.0000000001,62862.49845090952,105145.05419885878,9779.0,156814.01358722357
2023-06-01,253270.0000000001,68959.46879611137,105145.05419885878,11817.0,168900.62737176678
2023-07-01,275152.9999999998,77129.47732958444,105145.05419885878,13484.0,187458.8135753764
2023-08-01,292862.00000000006,79117.37392370091,105145.05419885878,15357.0,188416.88421647565
2023-09-01,247668.99999999985,63280.18497333919,105145.05419885878,25389.528915275994,137816.5119652293
2023-10-01,191304.0,72667.40347044867,105145.05419885878,30538.52445256648,155851.44795792553
2023-11-01,284085.0,88410.02958368075,105145.05419885878,58632.0,179518.66658777682
2023-12-01,365824.9999999998,111036.77549617377,105145.05419885878,59432.0,226795.7991988333
2024-01-01,333491.0,97919.2884407068,105145.05419885878,104620.0,191079.10834673082
2024-02-01,294529.9999999999,77609.44503380952,105145.05419885878,65463.0,152206.11712268903
2024-03-01,349965.0000000001,92733.49997807048,105145.05419885878,105145.0549412881,179485.35754973494
2024-04-01,265183.0000000001,72687.74006814582,105145.05419885878,10039.0,173377.0689570408
2024-05-01,265989.00000000006,60284.76490280059,105145.05419885878,9779.0,139265.47646791945
2024-06-01,262613.00000000006,66131.72347010726,105145.05419885878,11817.0,148940.0282837725
2024-07-01,295477.0000000001,73966.71342169047,105145.05419885878,13484.0,165585.50672712162
2024-08-01,312497.0000000001,75873.09451981026,105145.05419885878,15357.0,167579.87495300852
2024-09-01,239821.99999999997,60685.32381197924,105145.05419885878,25389.528915275994,122912.38370117212
2024-10-01,271571.0000000002,69687.61093283557,105145.05419885878,30538.52445256648,137380.4433531402
2024-11-01,318822.00000000006,84784.69643811502,105145.05419885878,58632.0,157279.3180503162
2024-12-01,383915.9999999999,106483.61219017135,105145.05419885878,59432.0,198749.31178158257
2025-01-01,306595.9999999999,93904.01954366056,105145.05419885878,104620.0,168788.54502833082
2025-02-01,268365.00000000006,74426.99961653113,105145.05419885878,65463.0,134076.81047909797
2025-03-01,299908.99999999994,88930.8790225306,105145.05419885878,105145.0549412881,157286.6763883375
2025-04-01,321074.0000000001,69707.11360996899,105145.05419885878,10039.0,151899.119445549
2025-05-01,270314.9999999998,57812.733647931585,105145.05419885878,9779.0,121615.31978173474
2025-06-01,273825.99999999994,63419.93239619247,105145.05419885878,11817.0,130122.19914610827
2025-07-01,307291.00000000006,70933.641505541,105145.05419885878,13484.0,144315.8377473394
2025-08-01,315572.0000000001,72761.84972423014,105145.05419885878,15357.0,145419.57439390683
2025-09-01,236472.99999999997,58196.86727711615,105145.05419885878,25389.528915275994,106308.539006313
2025-10-01,277299.0000000001,66830.00748060539,105145.05419885878,30538.52445256648,119038.23087312926
2025-11-01,328430.9999999998,81308.02335383689,105145.05419885878,58632.0,136266.55073188493
2025-12-01,392086.9999999997,102117.15545952172,105145.05419885878,59432.0,171834.87959406886
2026-01-01,319106.0000000001,90053.40037571595,105145.05419885878,104620.0,145195.2044114503
2026-02-01,254048.0,71375.05324907269,105145.05419885878,65463.0,115146.21122583385
2026-03-01,311226.0000000002,85284.18797511364,105145.05419885878,105145.0549412881,135080.19620038735
2026-04-01,278198.99999999994,66848.71043284152,105145.05419885878,10039.0,130354.38289728673
2026-05-01,260665.99999999977,55442.07026826117,105145.05419885878,9779.0,103984.23623331776
2026-06-01,259391.00000000003,60819.340765490364,105145.05419885878,11817.0,111240.86921518706
