fecha,real,Holt-Winters,Suavizamiento exponencial simple,Seasonal naive,Prophet
2021-04-01,18194.0,9100.698231890428,20726.21372344803,0.0,88827.13786228886
2021-05-01,12704.0,7403.499661694332,20726.21372344803,0.0,67665.17357270129
2021-06-01,16216.0,7206.834006148764,20726.21372344803,0.0,65351.30919698401
2021-07-01,18267.0,7838.64372772459,20726.21372344803,0.0,71228.26672014548
2021-08-01,15688.0,10087.43190636067,20726.21372344803,0.0,94410.85288593388
2021-09-01,16447.0,14806.400486469736,20726.21372344803,7254.0,62535.0561584787
2021-10-01,19399.0,16726.797524651927,20726.21372344803,8576.920058910006,69179.29246559982
2021-11-01,19587.17755114579,19269.29742375734,20726.21372344803,11528.0,79128.80190538199
2021-12-01,82264.0,18731.37965686287,20726.21372344803,573.0,100582.113070624
2022-01-01,23010.0,20265.984531730766,20726.21372344803,17086.0,84938.82701875173
2022-02-01,46087.4,16931.551822826532,20726.21372344803,14657.0,70867.27505022254
2022-03-01,68422.0,20088.055909607865,20726.21372344803,20788.0,85795.93342691485
2022-04-01,109382.0,8794.253506141104,20726.21372344803,0.0,89975.26381285214
2022-05-01,109611.0,7154.197848963544,20726.21372344803,0.0,68388.22644841776
2022-06-01,105641.0,6964.153721768236,20726.21372344803,0.0,66218.53178741455
2022-07-01,117800.0,7574.6910662644,20726.21372344803,0.0,72282.45891497907
2022-08-01,136447.0,9747.764882688834,20726.21372344803,0.0,95590.81674473279
2022-09-01,104097.0,14307.850692186548,20726.21372344803,7254.0,63070.18214522196
2022-10-01,110337.0,16163.589956764074,20726.21372344803,8576.920058910006,69986.50993957429
2022-11-01,130231.0,18620.486525101045,20726.21372344803,11528.0,80222.58997916132
2022-12-01,155458.0,18100.679890695465,20726.21372344803,573.0,101888.6884678064
2023-01-01,144993.9999999999,19583.616213384306,20726.21372344803,17086.0,85836.39619933175
2023-02-01,115806.00000000007,16361.45039039258,20726.21372344803,14657.0,71724.58982468839
2023-03-01,123877.99999999968,19411.678263158035,20726.21372344803,20788.0,86945.76086389004
2023-04-01,156559.0000000003,8498.12645601088,20726.21372344803,0.0,91115.63582318249
2023-05-01,114599.99999999996,6913.289769323512,20726.21372344803,0.0,69113.71505125891
2023-06-01,112605.00000000012,6729.644230496537,20726.21372344803,0.0,67094.39745089343
2023-07-01,130189.99999999984,7319.6254167541965,20726.21372344803,0.0,73340.9875758197
2023-08-01,143511.00000000012,9419.534094899935,20726.21372344803,0.0,96753.46624698065
2023-09-01,123361.99999999988,13826.086551645009,20726.21372344803,7254.0,63605.673907910976
2023-10-01,82875.0,15619.345002696638,20726.21372344803,8576.920058910006,70800.5196985052
2023-11-01,134425.00000000003,17993.52041549799,20726.21372344803,11528.0,81322.95817303992
2023-12-01,189184.99999999985,17491.215130562006,20726.21372344803,573.0,103184.23170279477
2024-01-01,158404.00000000006,18924.222527556754,20726.21372344803,17086.0,86728.9302588458
2024-02-01,134884.99999999988,15810.54368103782,20726.21372344803,14657.0,72591.1713750916
2024-03-01,169332.00000000015,18758.073549526725,20726.21372344803,20788.0,87728.91161464578
2024-04-01,122903.00000000007,8211.969696078384,20726.21372344803,0.0,92113.2268376725
2024-05-01,127385.00000000004,6680.492814499443,20726.21372344803,0.0,70332.17306941963
2024-06-01,105174.00000000004,6503.030430216499,20726.21372344803,0.0,67753.06460269456
2024-07-01,122695.00000000016,7073.147562732352,20726.21372344803,0.0,73723.0836996277
2024-08-01,163951.00000000012,9102.354496810342,20726.21372344803,0.0,97916.77715146703
2024-09-01,122425.99999999994,13360.542909318498,20726.21372344803,7254.0,65124.14570879671
2024-10-01,132061.0000000002,15093.424210938309,20726.21372344803,8576.920058910006,71821.03156465308
2024-11-01,164221.00000000006,17387.66360359042,20726.21372344803,11528.0,81966.51929492105
2024-12-01,201891.99999999985,16902.270415865623,20726.21372344803,573.0,104251.95159397881
2025-01-01,157647.9999999999,18287.02994223441,20726.21372344803,17086.0,88253.25038972958
2025-02-01,128702.00000000006,15278.185428373281,20726.21372344803,14657.0,73528.97025736774
2025-03-01,139873.99999999997,18126.47502771964,20726.21372344803,20788.0,88884.62935462351
2025-04-01,158699.00000000015,7935.447537028565,20726.21372344803,0.0,93271.16257515388
2025-05-01,133312.9999999998,6455.533891343616,20726.21372344803,0.0,71046.99031938345
2025-06-01,125142.99999999993,6284.046481213502,20726.21372344803,0.0,68614.02204004789
2025-07-01,121912.00000000007,6834.968362044711,20726.21372344803,0.0,74780.74915392023
2025-08-01,163534.0000000001,8795.854006341486,20726.21372344803,0.0,99114.58014595462
2025-09-01,124318.99999999993,12910.673637879963,20726.21372344803,7254.0,65647.38077881119
2025-10-01,130457.00000000007,14585.21062597701,20726.21372344803,8576.920058910006,72618.7809251546
2025-11-01,160120.99999999985,16802.205361250653,20726.21372344803,11528.0,83058.8187886906
2025-12-01,194544.99999999965,16333.154857990141,20726.21372344803,573.0,105572.5422553902
2026-01-01,142166.0000000001,17671.29096942302,20726.21372344803,17086.0,89148.67520391697
2026-02-01,99278.99999999996,14763.751125128048,20726.21372344803,14657.0,74376.00079160393
2026-03-01,120481.00000000016,17516.141772115374,20726.21372344803,20788.0,90039.7684697288
2026-04-01,113870.99999999996,7668.235591856936,20726.21372344803,0.0,94421.16027918858
2026-05-01,115940.9999999998,6238.149101470939,20726.21372344803,0.0,71764.02974433645
2026-06-01,110566.00000000004,6072.435494319994,20726.21372344803,0.0,69483.81385007648
