fecha,real,Holt-Winters,Suavizamiento exponencial simple,Seasonal naive,Prophet
2021-04-01,47526.17822905621,38294.63326443565,43152.91502199296,9550.0,186705.5840697935
2021-05-01,20456.0,30822.202633913763,43152.91502199296,9169.0,143965.36728541288
2021-06-01,30449.0,32295.0623798777,43152.91502199296,10399.0,148968.5786516113
2021-07-01,37165.66433359256,36837.32456624542,43152.91502199296,12437.0,169268.60169059917
2021-08-01,27571.0,41358.336916204185,43152.91502199296,14098.0,193828.62590805566
2021-09-01,28866.0,31588.3975599093,43152.91502199296,19783.528915275994,135529.93142878148
2021-10-01,40325.0,34213.26010295124,43152.91502199296,21063.82183411262,144447.63348958542
2021-11-01,42922.17755114579,38187.15650712504,43152.91502199296,19638.0,161989.66074270254
2021-12-01,122049.0,45678.70699739918,43152.91502199296,5715.0,220429.8839584155
2022-01-01,53281.0,47000.78014313618,43152.91502199296,60972.0,193500.09095944455
2022-02-01,147175.4,35955.75537122115,43152.91502199296,36679.0,152189.97383221998
2022-03-01,189137.0,42849.53875943596,43152.91502199296,44984.64027510227,179489.20567630764
2022-04-01,258094.0,36477.058902992816,43152.91502199296,9550.0,184824.37689410866
2022-05-01,243664.0,29359.291502639684,43152.91502199296,9169.0,142282.23299581878
2022-06-01,234967.0,30762.245053294744,43152.91502199296,10399.0,147626.66470768148
2022-07-01,266315.0,35088.91830228097,43152.91502199296,12437.0,167733.33820944192
2022-08-01,290297.0,39395.35029372561,43152.91502199296,14098.0,191503.10391058837
2022-09-01,245409.0,30089.120595236618,43152.91502199296,19783.528915275994,133542.80757636658
2022-10-01,281801.0,32589.399549042944,43152.91502199296,21063.82183411262,142722.41634739205
2022-11-01,315529.0,36374.68330430115,43152.91502199296,19638.0,160534.2822096963
2022-12-01,357685.0,43510.663080408856,43152.91502199296,5715.0,218384.8520466087
2023-01-01,214430.0,44769.98680021315,43152.91502199296,60972.0,191040.92781565944
2023-02-01,145396.00000000003,34249.19093808583,43152.91502199296,36679.0,150328.95037318178
2023-03-01,186351.99999999968,40815.775372514145,43152.91502199296,44984.64027510227,177602.87904821403
2023-04-01,226626.0000000003,34745.751892292246,43152.91502199296,9550.0,182930.1422894844
2023-05-01,166906.00000000006,27965.81437656718,43152.91502199296,9169.0,140616.1592124725
2023-06-01,164892.0000000001,29302.179682693102,43152.91502199296,10399.0,146288.21290067385
2023-07-01,175496.99999999985,33423.496470542996,43152.91502199296,12437.0,166178.6566568892
2023-08-01,213118.0000000001,37525.53270964036,43152.91502199296,14098.0,189152.3908139706
2023-09-01,180016.99999999985,28661.003663691128,43152.91502199296,19783.528915275994,131581.47756124794
2023-10-01,131699.0,31042.61212673926,43152.91502199296,21063.82183411262,141021.98340653902
2023-11-01,194407.0,34648.23533643654,43152.91502199296,19638.0,159087.93667162233
2023-12-01,256911.99999999985,41445.5208157412,43152.91502199296,5715.0,216301.4516585499
2024-01-01,236880.00000000003,42645.07337936116,43152.91502199296,60972.0,188575.00299954112
2024-02-01,195023.9999999999,32623.62500253111,43152.91502199296,36679.0,148489.65119766333
2024-03-01,240757.00000000012,38878.540294501516,43152.91502199296,44984.64027510227,175410.62986412985
2024-04-01,176774.0000000001,33096.617733664876,43152.91502199296,9550.0,180493.37386029653
2024-05-01,177469.00000000003,26638.475716428457,43152.91502199296,9169.0,139418.8244113537
2024-06-01,157594.00000000006,27911.413249237852,43152.91502199296,10399.0,143862.6221239803
2024-07-01,184561.00000000012,31837.12038919645,43152.91502199296,12437.0,163447.31287920414
2024-08-01,223302.0000000001,35744.46209116615,43152.91502199296,14098.0,187693.57163549194
2024-09-01,170231.99999999994,27300.66930371366,43152.91502199296,19783.528915275994,131622.3030156756
2024-10-01,189998.0000000002,29569.23972167755,43152.91502199296,21063.82183411262,139900.22851896577
2024-11-01,221084.0000000001,33003.72959637942,43152.91502199296,19638.0,156407.60577053158
2024-12-01,270242.9999999999,39478.39619252934,43152.91502199296,5715.0,212836.5546709983
2025-01-01,204868.9999999999,40621.01451239291,43152.91502199296,60972.0,187486.87372447195
2025-02-01,175050.00000000006,31075.213140940145,43152.91502199296,36679.0,147411.3841542022
2025-03-01,192069.99999999997,37033.25201189411,43152.91502199296,44984.64027510227,173525.01528616526
2025-04-01,226671.00000000012,31525.7562652237,43152.91502199296,9550.0,178619.07856071135
2025-05-01,181985.9999999998,25374.1363988075,43152.91502199296,9169.0,137724.45580848109
2025-06-01,173922.99999999994,26586.656624382842,43152.91502199296,10399.0,142504.83205240662
2025-07-01,189324.0000000001,30326.03831766986,43152.91502199296,12437.0,161917.48750952352
2025-08-01,224363.0000000001,34047.92624992054,43152.91502199296,14098.0,185403.1380086516
2025-09-01,165690.99999999994,26004.900357866507,43152.91502199296,19783.528915275994,129633.17606698038
2025-10-01,186906.0000000001,28165.797844212368,43152.91502199296,21063.82183411262,138157.25905042267
2025-11-01,216329.99999999985,31437.276868339235,43152.91502199296,19638.0,154928.84560113534
2025-12-01,264139.99999999965,37604.637009227066,43152.91502199296,5715.0,210813.16555741802
2026-01-01,205027.0000000001,38693.02334967049,43152.91502199296,60972.0,185050.41973361818
2026-02-01,146468.99999999997,29600.293397191013,43152.91502199296,36679.0,145538.05007002442
2026-03-01,183014.00000000015,35275.54646310677,43152.91502199296,44984.64027510227,171637.5092308404
2026-04-01,175449.99999999997,30029.452438076685,43152.91502199296,9550.0,176731.78367326924
2026-05-01,164258.99999999977,24169.806292190216,43152.91502199296,9169.0,136046.75465895553
2026-06-01,160604.00000000003,25324.776791162392,43152.91502199296,10399.0,141150.94648142398
