fecha,real,Holt-Winters,Suavizamiento exponencial simple,Seasonal naive,Prophet
2021-04-01,15805.0,7663.238768310268,22823.999569003612,0.0,19455.443123052177
2021-05-01,17568.0,7129.876173718085,22823.999569003612,0.0,17775.537995606952
2021-06-01,26751.0,11060.786577040453,22823.999569003612,0.0,28472.491962685897
2021-07-01,24815.0,11330.876419178212,22823.999569003612,0.0,29476.342949448932
2021-08-01,15851.0,7961.273669924205,22823.999569003612,0.0,19415.91563461943
2021-09-01,11086.0,9153.892157748165,22823.999569003612,1134.0,11892.724792858226
2021-10-01,14356.0,12588.781623984436,22823.999569003612,2890.563772446,15338.831286251332
2021-11-01,21432.0,15666.368181165319,22823.999569003612,11267.0,17396.65300137381
2021-12-01,51522.0,22089.427717028928,22823.999569003612,12291.0,24679.54724952992
2022-01-01,27488.0,17270.48310833975,22823.999569003612,12140.0,18788.175461402312
2022-02-01,28326.0,16364.960065319074,22823.999569003612,6427.0,18223.98009253687
2022-03-01,38922.0,22223.842767500933,22823.999569003612,22824.0,23692.847652359702
2022-04-01,43043.0,7461.716494982429,22823.999569003612,0.0,16750.911270953948
2022-05-01,38791.0,6942.378051492463,22823.999569003612,0.0,15372.273614436499
2022-06-01,51958.0,10769.929722829474,22823.999569003612,0.0,24573.02201995798
2022-07-01,51030.0,11032.917865681007,22823.999569003612,0.0,25276.98269792869
2022-08-01,35616.0,7751.914914367679,22823.999569003612,0.0,16521.538389899455
2022-09-01,26932.0,8913.174881646475,22823.999569003612,1134.0,10102.413955062462
2022-10-01,32604.0,12257.747911405339,22823.999569003612,2890.563772446,13114.644557350979
2022-11-01,33302.0,15254.412897884293,22823.999569003612,11267.0,14855.844485869779
2022-12-01,51836.0,21508.585529449032,22823.999569003612,12291.0,20977.32157511328
2023-01-01,42980.0,16816.349482685062,22823.999569003612,12140.0,15865.192047679784
2023-02-01,41407.99999999999,15934.636118315677,22823.999569003612,6427.0,15365.317590706247
2023-03-01,55782.0,21639.466291995068,22823.999569003612,22824.0,19922.69223613795
2023-04-01,44496.0,7265.493016208739,22823.999569003612,0.0,14059.591132076283
2023-05-01,41753.0,6759.809975025833,22823.999569003612,0.0,12950.917946938185
2023-06-01,61407.0,10486.720612412168,22823.999569003612,0.0,20636.31436596527
2023-07-01,62914.0,10742.79378692727,22823.999569003612,0.0,21074.27566042201
2023-08-01,45608.0,7548.061004580727,22823.999569003612,0.0,13659.735118188037
2023-09-01,33515.0,8678.78698725845,22823.999569003612,1134.0,8335.290420809546
2023-10-01,28945.0,11935.418346534027,22823.999569003612,2890.563772446,10879.120006603192
2023-11-01,45186.0,14853.289501200961,22823.999569003612,11267.0,12295.010911217736
2023-12-01,68456.0,20943.015913826293,22823.999569003612,12291.0,17260.11751304791
2024-01-01,53061.0,16374.156774243826,22823.999569003612,12140.0,12957.099270436936
2024-02-01,56908.0,15515.627040627925,22823.999569003612,6427.0,12517.622392762214
2024-03-01,66372.0,21070.455318450102,22823.999569003612,22824.0,16307.523252920273
2024-04-01,48372.0,7074.429006329244,22823.999569003612,0.0,11452.167159912695
2024-05-01,50956.0,6582.04231448031,22823.999569003612,0.0,10315.325659181524
2024-06-01,71451.0,10210.958157231444,22823.999569003612,0.0,16376.244947436378
2024-07-01,71606.0,10460.29818448606,22823.999569003612,0.0,16882.751474810124
2024-08-01,51098.0,7349.567197025584,22823.999569003612,0.0,11083.999894670933
2024-09-01,32882.0,8450.562050829525,22823.999569003612,1134.0,6726.132982862525
2024-10-01,39706.0,11621.564063897162,22823.999569003612,2890.563772446,8518.066628683404
2024-11-01,49266.0,14462.713179214606,22823.999569003612,11267.0,9552.45155917387
2024-12-01,72247.0,20392.31729558645,22823.999569003612,12291.0,13443.793087744214
2025-01-01,53561.0,15943.591010440916,22823.999569003612,12140.0,10168.098471796098
2025-02-01,49969.0,15107.635320884447,22823.999569003612,6427.0,9744.404801607128
2025-03-01,61948.0,20516.40582880506,22823.999569003612,22824.0,12539.791691922253
2025-04-01,52232.0,6888.3888030906965,22823.999569003612,0.0,8755.025839970896
2025-05-01,51752.0,6408.94884848435,22823.999569003612,0.0,7887.389596598965
2025-06-01,68559.0,9942.446556120696,22823.999569003612,0.0,12444.677574608262
2025-07-01,73920.0,10185.230476416364,22823.999569003612,0.0,12689.397851261763
2025-08-01,52180.0,7156.292554027971,22823.999569003612,0.0,8223.18861012527
2025-09-01,33282.0,8228.33802452483,22823.999569003612,1134.0,4952.007522950535
2025-10-01,46323.0,11315.962215773714,22823.999569003612,2890.563772446,6278.351759861515
2025-11-01,56224.0,14082.406608823172,22823.999569003612,11267.0,6990.212209082634
2025-12-01,79332.0,19856.09865909314,22823.999569003612,12291.0,9732.98845534251
2026-01-01,58503.0,15524.346474246087,22823.999569003612,12140.0,7261.458074353222
2026-02-01,56313.0,14710.371270430394,22823.999569003612,6427.0,6895.937250090909
2026-03-01,73023.0,19976.924428185514,22823.999569003612,22824.0,8787.788402444772
2026-04-01,55450.0,6707.240311321528,22823.999569003612,0.0,6070.424630345328
2026-05-01,54947.0,6240.406674511015,22823.999569003612,0.0,5440.786726725127
2026-06-01,65514.0,9680.99515627801,22823.999569003612,0.0,8476.597580602098
