fecha,real,prediccion,inferior,superior
2021-04-01,82067.86966045789,53492.98619440807,30569.163163376736,93607.38979676554
2021-05-01,79974.0,57268.621394057016,23813.433480183718,137724.57462318626
2021-06-01,106436.0,47456.4702034697,15805.956117251013,142485.31044033403
2021-07-01,108345.66433359256,72471.12635500167,20429.508653279263,257082.25509963874
2021-08-01,83251.0,57276.29253552089,13584.446365378357,241494.8389045515
2021-09-01,74913.99999999996,62315.25353584606,13007.013368116814,298545.92390558845
2021-10-01,93745.0,52754.79156737693,9538.654076169682,291767.3721149291
2021-11-01,116908.17755114578,84836.25407290304,13755.470586749585,523223.83009237726
2021-12-01,246898.0,82660.62965547455,11835.364425766733,577318.9104480717
2022-01-01,151709.0,101756.78874165447,13218.778508449172,783313.2273451249
2022-02-01,232198.4,64428.78468676798,7492.1101862816395,554058.6287445003
2022-03-01,296130.0,70636.05164628185,7514.350189322677,663989.7884005766
2022-04-01,386778.0,17002.694122261528,1594.892871199523,181260.83114144206
2022-05-01,356400.0,18206.964924584347,1531.0068477319728,216519.9798133613
2022-06-01,360283.0,16697.72397696924,1247.5412854254241,223490.78885671913
2022-07-01,397773.0,23530.396041871354,1592.614131809267,347654.54282282124
2022-08-01,399193.0,20693.701614671867,1255.5549918595286,341067.72645843873
2022-09-01,348618.0,25880.508201731816,1432.3355805473273,467628.33645727165
2022-10-01,407715.0,24333.98712618672,1216.6704568052164,486691.30259996146
2022-11-01,453177.0,41616.7420262336,1908.1124711453858,907678.7888915351
2022-12-01,526190.0,40849.68154496759,1703.1102349496896,979793.5847497035
2023-01-01,291513.0,56578.86919430978,2172.592957415988,1473432.2084492913
2023-02-01,221331.00000000003,35528.062718714835,1247.3853851800568,1011911.1988495309
2023-03-01,279789.9999999997,44139.69096599786,1432.642249770038,1359943.3626130521
2023-04-01,306654.0000000003,13406.056196886797,377.09507954570125,476596.89161312906
2023-05-01,239253.0000000001,14410.691860525367,352.0405404522451,589898.082852144
2023-06-01,253270.0000000001,12751.631641279106,269.87283128675625,602521.227274241
2023-07-01,275152.9999999998,18497.301929898367,345.00857490428695,991714.9994916549
2023-08-01,292862.00000000006,15674.132645908243,255.19068519013098,962724.9286880621
2023-09-01,247668.99999999985,18818.218332208777,272.26437945536014,1300667.17470377
2023-10-01,191304.0,17064.064791868826,217.2367142349151,1340391.78527723
2023-11-01,284085.0,28704.40063285564,326.73440336365337,2521750.4101471663
2023-12-01,365824.9999999998,28031.87874478215,282.7726364336807,2778862.325126217
2024-01-01,333491.0,37503.8657302024,339.98171719436783,4137104.6546745044
2024-02-01,294529.9999999999,23552.61591766104,190.39132839548756,2913608.0999054955
2024-03-01,349965.0000000001,28194.549814990394,205.71241235073765,3864291.076002851
2024-04-01,265183.0000000001,7938.138359145029,49.80272741894827,1265272.8851343002
2024-05-01,265989.00000000006,8541.219210027111,46.30909995331366,1575336.7192902227
2024-06-01,262613.00000000006,7628.078869688451,35.595084372706644,1634708.5073017601
2024-07-01,295477.0000000001,10985.987590888335,44.78965257801737,2694638.524755774
2024-08-01,312497.0000000001,9401.56704659442,33.20048583363557,2662294.2620334295
2024-09-01,239821.99999999997,11454.612340104672,35.58093251098295,3687597.1089733993
2024-10-01,271571.0000000002,10488.67217732322,28.412541658788022,3871960.677242944
2024-11-01,318822.00000000006,17764.934650694475,42.55421821834622,7416254.283515071
2024-12-01,383915.9999999999,17349.924631250382,36.46863606955182,8254212.856657791
2025-01-01,306595.9999999999,23502.60552991166,43.88318451580411,12587337.78756878
2025-02-01,268365.00000000006,14738.601679761809,24.281482630615688,8946174.448210346
2025-03-01,299908.99999999994,17875.663080342245,26.26563861196208,12165679.094373275
2025-04-01,321074.0000000001,5148.394285054277,6.43850678695779,4116787.4153789077
2025-05-01,270314.9999999998,5544.55357999455,5.921764669597252,5191370.497929829
2025-06-01,273825.99999999994,4931.648313537966,4.482798056643485,5425440.713836753
2025-07-01,307291.00000000006,7126.541275997052,5.588768331462972,9087438.867804175
2025-08-01,315572.0000000001,6073.384596043164,4.076384416572913,9048705.097951757
2025-09-01,236472.99999999997,7372.665310877057,4.29611691410765,12652400.964162359
2025-10-01,277299.0000000001,6723.779022377587,3.374237532663132,13398346.709184797
2025-11-01,328430.9999999998,11373.84967752278,4.980210183314702,25975702.17423699
2025-12-01,392086.9999999997,11098.347628175463,4.209542300106926,29260501.8062651
2026-01-01,319106.0000000001,14987.42063026222,4.981688563120504,45089686.820507914
2026-02-01,254048.0,9395.615499216263,2.7195557815031903,32460297.82125631
2026-03-01,311226.0000000002,11356.853141507681,2.8920803790773464,44597001.59472071
2026-04-01,278198.99999999994,3245.218946468305,0.6968110476498662,15113775.888077939
2026-05-01,260665.99999999977,3496.287118284944,0.6351088563033698,19247131.404582776
2026-06-01,259391.00000000003,3111.812059100013,0.4765924458718495,20317934.904415164
