fecha,real,prediccion,inferior,superior
2021-04-01,18194.0,0.0,0.0,0.0
2021-05-01,12704.0,0.0,0.0,13.579171993478498
2021-06-01,16216.0,0.0,0.0,13.289095398980196
2021-07-01,18267.0,0.0,0.0,150.16800916971158
2021-08-01,15688.0,0.0,0.0,105.36557470935955
2021-09-01,16447.0,1429.3647871662645,0.0,5865516.382007319
2021-10-01,19399.0,490.12421843286523,0.0,4498307.524124052
2021-11-01,19587.17755114579,2155.9553052639626,0.0,36945410.57325052
2021-12-01,82264.0,33.55544527791133,0.0,1179462.6741062321
2022-01-01,23010.0,3045.7992344730883,0.0,181189937.6349448
2022-02-01,46087.4,922.9877266096773,0.0,101330054.63571902
2022-03-01,68422.0,3546.087041949795,0.0,644594478.5896791
2022-04-01,109382.0,0.0,0.0,2498.362792685536
2022-05-01,109611.0,0.0,0.0,148423.34734120892
2022-06-01,105641.0,0.0,0.0,80648.68669557555
2022-07-01,117800.0,0.0,0.0,2927143.9196504564
2022-08-01,136447.0,0.0,0.0,1463368.961549939
2022-09-01,104097.0,217.31211918248428,0.0,269348993566.3231
2022-10-01,110337.0,34.93080507233679,0.0,159042691531.98856
2022-11-01,130231.0,318.107353898825,0.0,4066553730843.8545
2022-12-01,155458.0,1.6046764588719697,0.0,104763712834.3284
2023-01-01,144993.9999999999,437.0535167900787,0.0,46529874172105.36
2023-02-01,115806.00000000007,70.57967959230497,0.0,21772007615056.543
2023-03-01,123877.99999999968,495.78983717046526,0.0,373142522497814.1
2023-04-01,156559.0000000003,0.0,0.0,1036135716.5090563
2023-05-01,114599.99999999996,0.0,0.0,124759055758.59888
2023-06-01,112605.00000000012,0.0,0.0,49691253737.20623
2023-07-01,130189.99999999984,0.0,0.0,3876783573698.073
2023-08-01,143511.00000000012,0.0,0.0,1603383603153.0334
2023-09-01,123361.99999999988,27.614805444398428,0.0,6.310518564115731e+17
2023-10-01,82875.0,2.0412934033675687,0.0,3.300306359336129e+17
2023-11-01,134425.00000000003,40.058231849183095,0.0,1.7586019437640151e+19
2023-12-01,189184.99999999985,0.0,0.0,4.199845018785925e+17
2024-01-01,158404.00000000006,54.412654066632896,0.0,3.7625758982503766e+20
2024-02-01,134884.99999999988,5.268422601469379,0.0,1.68830190319736e+20
2024-03-01,169332.00000000015,60.870737463312814,0.0,5.639361750795578e+21
2024-04-01,122903.00000000007,0.0,0.0,1.3899766727311064e+16
2024-05-01,127385.00000000004,0.0,0.0,2.7819708418011935e+18
2024-06-01,105174.00000000004,0.0,0.0,9.849406546148283e+17
2024-07-01,122695.00000000016,0.0,0.0,1.2983030395415021e+20
2024-08-01,163951.00000000012,0.0,0.0,5.093191506005314e+19
2024-09-01,122425.99999999994,2.425966710527081,0.0,3.3762700598146024e+25
2024-10-01,132061.0000000002,0.0,0.0,1.749774587835202e+25
2024-11-01,164221.00000000006,3.861894275070946,0.0,1.5516815497927296e+27
2024-12-01,201891.99999999985,0.0,0.0,3.7906289480199926e+25
2025-01-01,157647.9999999999,5.4956756612322355,0.0,5.5614144396638345e+28
2025-02-01,128702.00000000006,0.0,0.0,2.615392352138297e+28
2025-03-01,139873.99999999997,6.1857981840594105,0.0,1.405449853576732e+30
2025-04-01,158699.00000000015,0.0,0.0,3.452773572835731e+24
2025-05-01,133312.9999999998,0.0,0.0,1.0031007201199752e+27
2025-06-01,125142.99999999993,0.0,0.0,3.526210659507281e+26
2025-07-01,121912.00000000007,0.0,0.0,6.800253492933695e+28
2025-08-01,163534.0000000001,0.0,0.0,2.7543356638816043e+28
2025-09-01,124318.99999999993,0.0,0.0,2.6697234392871207e+34
2025-10-01,130457.00000000007,0.0,0.0,1.4697270372204772e+34
2025-11-01,160120.99999999985,0.0,0.0,1.8958213773117414e+36
2025-12-01,194544.99999999965,0.0,0.0,5.02651857788089e+34
2026-01-01,142166.0000000001,0.0,0.0,1.06442041755735e+38
2026-02-01,99278.99999999996,0.0,0.0,5.524529848761239e+37
2026-03-01,120481.00000000016,0.0,0.0,4.246128692682768e+39
2026-04-01,113870.99999999996,0.0,0.0,1.1090929927899946e+34
2026-05-01,115940.9999999998,0.0,0.0,4.2876810605477006e+36
2026-06-01,110566.00000000004,0.0,0.0,1.593105806075154e+36
